A_k,Distance,H_absolute,J_absolute,K_absolute,K_apparent,Teff,[Fe/H],logg
1.59181,1.6805215747531341,-3.6335594644049634,-3.070925725648365,-3.7300304618498203,8.989,3404.12603192,-0.28429984031,0.231669760226
0.1377,0.9810654125064994,0.4007515742322746,0.8252070462382833,0.3328101754165754,10.429,5237.26332314,-0.636773313001,3.12713932865
1.94157,6.1164312809042665,-5.816248811534906,-4.925799942570947,-6.088060503643517,9.786,3511.72378585,-0.272442465191,0.335370881048
1.08416,6.172825200106018,-5.045796538638705,-4.2005418485202695,-5.293579894713852,9.743,3628.74210999,-0.0315137959931,0.712818721432
0.622403,2.503425012875226,-2.7177157247839316,-2.0082142298269243,-2.867075935770221,9.748,4119.87974762,0.229300127709,1.80783605453
0.0835376,3.4092379073122143,-2.546234105925906,-2.028879926232547,-2.62382414358616,10.123,4698.05486138,-1.78278461821,1.48754321377
1.1732,3.538971521850521,-3.9007102501927995,-3.1396992535749986,-4.103585339391397,9.814,3879.28562361,0.25352639967,1.21496246039
0.196452,2.9597099720284,-1.744658845825995,-1.2738613687932767,-1.816697778742531,10.736,4700.01843887,-1.77078723893,1.76314271449
2.56765,nan,nan,nan,nan,8.354,3370.20799001,-0.372187254541,0.0872674567298
1.10527,1.8502718860078224,-3.4822226871396644,-2.915308011188714,-3.5794477498989057,8.862,3463.45953458,-0.449741961823,0.226875806054
1.80112,4.302188371691582,-5.161055725459647,-4.335972382810567,-5.432567110446866,9.537,3558.9634921,0.0225918401879,0.56290114388
1.27051,5.198572428543765,-5.943270041168168,-5.0500329188668465,-6.2319304955538986,8.618,3459.13247065,-0.265186793334,0.25760236672
0.0771125,2.5582347688640956,-1.3052663345907314,-0.8786884655611943,-1.3778144855913657,10.739,5224.20903731,-1.41725185771,2.40800204031
0.0853743,1.9253786867524014,-1.220176575702566,-0.7788384394668975,-1.2929551001124349,10.215,5156.12210927,-1.44937116732,2.44825815477
0.282744,nan,nan,nan,nan,8.928,4953.98469635,0.390117347226,2.5846854857
0.879444,3.6638350184354285,-3.944547347481763,-3.158218947980198,-4.139123546326923,9.56,3846.44450645,0.168491541218,1.24513418022
1.57345,3.8747700908787195,-5.615617751781611,-4.772820425247581,-5.919679693921456,8.595,3479.21507508,-0.0783039186124,0.339840828473
0.142291,1.9801066503118494,-1.0760667854622519,-0.6338153967791204,-1.1487339118999589,10.477,5041.7532845,-1.51979027876,2.42688160096
1.31458,nan,nan,nan,nan,9.053,3579.33378673,-1.0738710407,-0.101762353638
0.522342,1.4241370831461466,-2.794107468257494,-2.1145806407366674,-2.942100975958323,8.348,4213.50789178,0.191619664843,1.69155020549
1.30723,2.0334491891090924,-3.0039947645846015,-2.4244648397873956,-3.104396624629421,9.744,3645.52140066,-0.331361649513,0.683929295107
1.39169,6.960391161910924,-5.597833956229385,-4.726155968850049,-5.891858234465089,9.713,3471.2297268,-0.0930017577547,0.441539639373
1.73043,3.828719689727415,-5.262396580413226,-4.43559901934636,-5.546697858558967,9.099,3580.0667287,0.037545007015,0.522175110737
0.0826201,2.269181263090492,-1.1839915987991911,-0.7653301310640778,-1.2539660444218925,10.608,5278.68805504,-1.35013458764,2.45784679437
1.40454,3.4155637455348615,-5.159824670470324,-4.314524405987798,-5.421851975474153,8.65,3592.18543194,-0.0173924355088,0.648133259276
1.90026,nan,nan,nan,nan,9.713,3621.83169481,-1.04153171127,-0.0443408862564
0.277236,nan,nan,nan,nan,10.228,4277.92514026,0.375990384573,2.24393849203
1.38159,6.686133738502482,-5.416352669628903,-4.583312236169007,-5.66946529630575,9.838,3599.8963835,-0.283524913572,0.409106905032
1.33385,6.756805369900004,-5.2497218549881435,-4.403816205612326,-5.491557046159707,9.991,3641.36085,-0.188315308774,0.575658465452
1.10894,5.360793669572503,-4.5855137850622585,-3.7498338435789402,-4.7930854604032165,9.962,3751.64402651,-0.0302638529025,0.953569170908
1.26592,2.0694936804136064,-2.9717352484984048,-2.3891985125155357,-3.0732405226964836,9.772,3627.94402132,0.0349766564933,0.894660004306
0.164322,0.6308852866694085,-1.4271228418115098,-0.9038068396113469,-1.5150739951469125,7.649,4841.73333817,0.124023215378,2.37560769041
0.415854,0.8504104898384761,0.22874290610161785,0.7049669370631634,0.14900295708237746,10.213,5210.82892769,0.0104087117844,3.05992680217
1.24205,2.329649824341357,-3.8319049164847474,-3.2610576591093094,-3.9305032300541454,9.148,3446.10948693,-0.174717550013,0.367402736641
2.03612,nan,nan,nan,nan,8.516,3380.27048858,-0.418751841855,0.162168113315
1.8259,nan,nan,nan,nan,9.401,3730.1141853,-1.20559556963,0.0399261306858
2.48686,nan,nan,nan,nan,7.416,3411.54676331,-0.579419629204,0.262930502933
1.68453,nan,nan,nan,nan,8.241,3357.89780718,-0.487417492682,0.220940845876
0.93636,1.3398459090826185,-4.497672632852337,-3.7000826806441047,-4.725634272857075,6.846,3740.43195389,0.150681385387,0.899805742522
0.33966,nan,nan,nan,nan,7.421,4971.06438552,0.471993535071,2.6735270987
1.12363,3.350644315591183,-4.461479330412291,-3.655648606818907,-4.66027164085547,9.089,3704.86776963,0.0857385868056,0.981348104955
0.173502,2.6315024209059152,-1.3461206138796418,-0.9128280988023644,-1.4195208694590464,10.855,5186.85690547,-1.43836934612,2.39488288674
0.46359,nan,nan,nan,nan,8.185,4183.10592556,0.254091686331,1.57637285522
1.82039,4.58239651007019,-5.545987612509285,-4.675504418676178,-5.832853327677032,9.293,3489.66429516,-0.0979328836802,0.469331377381
1.64506,3.8772019550770116,-5.600451159445755,-4.7590422256521,-5.881652115290422,8.706,3603.28001187,-0.209887620579,0.360542094303
1.0098,3.249181912946755,-4.168569645493968,-3.374221941800622,-4.3656701350218015,9.203,3833.0318046,0.117935911527,1.13293702904
0.0679323,1.1934109192642668,0.23142641014420673,0.6572330237209874,0.16311766420703547,10.615,5238.70150267,-0.723166478462,3.05630217628
2.07652,0.29109183566510016,-1.8076663210797876,-1.1936416398687755,-1.9176701241483824,7.479,3963.68159622,-0.459540092257,1.71911009399
0.112914,1.408573892779267,-1.25050702994854,-0.8256190027512949,-1.3228121734869587,9.534,5232.83095126,-1.39714563796,2.43286366552
1.85344,nan,nan,nan,nan,8.903,3412.65651305,-0.312620376022,0.0309772960745
1.59916,4.406422481028037,-4.920567387785826,-4.1057816136601115,-5.1675906714987985,9.652,3627.80145179,0.0166324700898,0.662529698773
1.76348,2.398597332411401,-3.903089003614303,-3.318280295976877,-4.00626673173215,9.657,3519.8900271,-0.0961285309688,0.54421643875
1.05295,nan,nan,nan,nan,10.111,4500.71799837,0.324089174822,2.2455168348
1.73227,3.7035362345890945,-6.018637878664229,-5.116643440066494,-6.318352990253468,8.257,3409.45633573,-0.215373080929,0.23023186552
0.202879,4.629226444883357,-2.7798693529384177,-2.2541623530261843,-2.860421127026982,10.67,4709.88921409,-1.78893318614,1.45444860381
1.90393,4.242832329866146,-5.328904937076817,-4.471836865713518,-5.586209347316788,9.456,3597.40711406,-0.141814389556,0.569918865889
-0.0440644,0.34630435177656327,1.4340604428467147,1.884297393826874,1.3657102546310818,9.063,5122.70088488,-0.214391015207,3.57039576835
0.136782,0.9442268936106148,0.6918361710945187,1.1358010336101572,0.6248361704433558,10.637,5056.45215241,-0.685571671124,3.23226350128
1.92688,1.3033606235255324,-3.3039693935343135,-2.7371558954199013,-3.4012029808585176,9.101,3426.28170424,-0.300438076217,0.316931809504
1.37333,5.194174728897267,-5.2372971106111255,-4.393752568866793,-5.497912774713969,9.453,3590.37291769,-0.0694974795697,0.588469749181
0.321299,nan,nan,nan,nan,9.164,4651.54908472,0.299428181009,2.31683360723
